epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
129,2272.23,0.24534,0.18444,0.82676,0.99721,0.99735,0.99316,0.98496,0.21811,0.13862,0.81098,0.00037328,0.00037328,0.00037328
130,2290.44,0.2593,0.19472,0.8412,0.99701,0.99744,0.99339,0.98637,0.21324,0.13622,0.81026,0.00037229,0.00037229,0.00037229
131,2309.31,0.2503,0.18866,0.83113,0.99723,0.99686,0.99342,0.98492,0.22687,0.14244,0.81365,0.0003713,0.0003713,0.0003713
132,2328.71,0.25229,0.18824,0.8325,0.99728,0.99735,0.99318,0.98476,0.22207,0.14108,0.81097,0.00037031,0.00037031,0.00037031
133,2347.28,0.2524,0.18823,0.83263,0.99729,0.99744,0.99321,0.98515,0.21736,0.13909,0.80857,0.00036932,0.00036932,0.00036932
134,2366.12,0.25393,0.18804,0.83334,0.99724,0.99744,0.99296,0.98514,0.21641,0.13771,0.80811,0.00036833,0.00036833,0.00036833
135,2383.2,0.24268,0.18435,0.82814,0.99727,0.99744,0.99306,0.98424,0.22122,0.14005,0.80984,0.00036734,0.00036734,0.00036734
136,2400.19,0.26325,0.19346,0.84088,0.99727,0.99744,0.99323,0.98565,0.21473,0.14098,0.80609,0.00036635,0.00036635,0.00036635
137,2416.95,0.25183,0.18713,0.83572,0.99724,0.99744,0.99295,0.98563,0.20555,0.13673,0.79959,0.00036536,0.00036536,0.00036536
138,2433.75,0.24073,0.18223,0.82478,0.99698,0.99744,0.99297,0.98482,0.21011,0.13685,0.79929,0.00036437,0.00036437,0.00036437
139,2450.55,0.2668,0.19245,0.84575,0.99708,0.99744,0.9931,0.98555,0.20723,0.13607,0.79706,0.00036338,0.00036338,0.00036338
140,2467.39,0.25209,0.18696,0.84287,0.99721,0.99744,0.9932,0.98515,0.21767,0.13909,0.8001,0.00036239,0.00036239,0.00036239
141,2484.1,0.25992,0.19267,0.84508,0.99723,0.99744,0.99351,0.98542,0.21969,0.13865,0.80143,0.0003614,0.0003614,0.0003614
142,2500.96,0.2529,0.18703,0.83606,0.99718,0.99733,0.99327,0.98535,0.21199,0.1365,0.80144,0.00036041,0.00036041,0.00036041
143,2517.7,0.24543,0.18321,0.83061,0.99721,0.99739,0.99369,0.98589,0.21216,0.13713,0.80311,0.00035942,0.00035942,0.00035942
144,2534.59,0.25621,0.18988,0.83658,0.99725,0.99744,0.99393,0.98547,0.2265,0.14157,0.80795,0.00035843,0.00035843,0.00035843
